species_id,Country,SiteName,Lat,Long,Years,Habitat,EnglishName,LatinName,JetzLatinName,JetzTipLabel,JetzFamily,JetzOrder,NestShape,SampleSize,SuccessfulNests,PercentageSuccessfulNests,DSR,FailedNests,DepredatedNests,PercentageDepredated,NestSuccessNotes,IncubationPeriod.days.,NestlingPeriod.days.,ClutchSize,ReferenceForClutchSize,ReferenceForIncubationPeriod,ReferenceForNestlingPeriod,GeneralNotes,Citation,demelevation,Hemisphere,temptrop2,temptrop
1,United States,"Barren Grouse Habitat Management Area, Pennsylvania",40.766752,-77.977648,1985-1987,closed,Black-billed Cuckoo,Coccyzus erythropthalmus,Coccyzus erythropthalmus,Coccyzus_erythropthalmus,Cuculidae,1857,open,10,NA,0.3,NA,NA,NA,NA,NA,10.5,11,3.5,HBW Alive (median),HBW Alive,HBW Alive,NA,Yahner RH. 1991. Avian nesting ecology in small even-aged aspen stands. The Journal of Wildlife Management : 155-159.,380.3203735,N,ntemp,temperate
2,United States,Tensas National Wildlife Refuge,32.32471,-91.343997,1994-1997,closed,Yellow-billed Cuckoo,Coccyzus americanus,Coccyzus americanus,Coccyzus_americanus,Cuculidae,1858,open,20,NA,NA,0.925,NA,NA,NA,NA,11,8.5,4,HBW Alive (median),HBW Alive,HBW Alive,bottomland hardwood forests,"Twedt DJ, RR Wilson, JL Henne-Kerr & RB Hamilton. 2001. Nest survival of forest birds in the Mississippi Alluvial Valley. The Journal of Wildlife Management 65: 450-460.",21.70057678,N,ntemp,temperate
3,Venezuela,"Central Llanos, Gu_rico State",8.566667,-67.58333,1986,semi-open,Greater Ani,Crotophaga major,Crotophaga major,Crotophaga_major,Cuculidae,1878,open,25,16,0.64,0.98525,NA,NA,NA,"Only eggs were predated and no nestlings were predated. Nestlings have large anal glands and expel smelly fluid when handled, which could deter predators. DSR for nestlings was 1 and for incubation was 0.9705.",11.5,8.5,7.6,Paper,HBW Alive,HBW Alive,NA,"Lau P, C Bosque & SD Strahl. 1998. Nest predation in relation to nest placement in the greater ani (Crotophaga ani). Ornitologia Neotropical 9: 87-92.",69.82164001,N,trop,tropical
4,Ecuador,Ancon (Guayas Province),-2.310831,-80.838557,1955-1958,semi-open,Groove-billed Ani,Crotophaga sulcirostris,Crotophaga sulcirostris,Crotophaga_sulcirostris,Cuculidae,1880,open,27,14,0.518518519,NA,NA,NA,NA,"Marchant writes that of 133 eggs, 63 nestlings fledged (vs. 14 successful nests out of 27). Unclear how many were thought to be due to predation (10?)",14,9,5,Paper,Paper,Paper,NA,Marchant S. 1960. The breeding of some SW Ecuadorian birds. Ibis 102: 349-382,36.67686844,S,trop,tropical
5,Equador,Cuyabeno Lakes,-0.3591289,-80.3578604,"1995, 1996, 1997, 1998, 2000",semi-open,Hoatzin,Opisthocomus hoazin,Opisthocomus hoazin,Opisthocomus_hoazin,Opisthocomidae,1906,open,693,118.5,0.171,NA,NA,NA,NA,SuccNests is %SuccNests x Sample size,32,17,2.4,Paper,HBW Alive,HBW Alive,NA,Mullner A & Linsenmair KE. 2007. Nesting behavior and breeding success of Hoatzins. Journal of Field Ornithology 78: 352-361.,198.3953094,S,trop,tropical
6,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Bronzy Hermit,Glaucis aenea,Glaucis aeneus,Glaucis_aeneus,Trochilidae,2456,open,12,4,0.333333333,NA,NA,NA,NA,NA,18,22.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",706.5334473,N,trop,tropical
7,Trinidad,"Trinidad (""Simla"", near Arima)",10.716771,-61.300368,1957-1961,closed,Rufous-breasted Hermit,Glacuis hirsuta,Glaucis hirsutus,Glaucis_hirsutus,Trochilidae,2457,open,185,32,0.172972973,NA,NA,NA,NA,NA,18,22.5,2,HBW Alive,HBW Alive,HBW Alive,NA,Snow DW & BK Snow. 1973. The breeding of the Hairy Hermit Glaucis hirsuta in Trinidad. Ardea 61: 106-122.,541.6542358,N,trop,tropical
8,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Band-tailed Barbthreat,Threnetes ruckeri,Threnetes ruckeri,Threnetes_ruckeri,Trochilidae,2459,open,20,8,0.4,NA,NA,NA,NA,NA,16.5,24,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",706.5334473,N,trop,tropical
9,Costa Rica,Los Cusingos,9.333448,-83.627878,1942-1982,closed,Stripe-throated Hermit,Phaethornis striigularis,Phaethornis striigularis,Phaethornis_striigularis,Trochilidae,2486,open,18,6,0.333333333,NA,NA,NA,NA,NA,15.5,21.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Skutch AF. 1985. Clutch size, nesting success and predation on nests of Neotropical birds, reviewed. Ornithological Monographs 36: 575-594.",818.7720947,N,trop,tropical
9,Costa Rica,La Selva biological station,10.428667,-84.013466,1997-1998,closed,Stripe-throated Hermit,Phaethornis striigularis,Phaethornis striigularis,Phaethornis_striigularis,Trochilidae,2489,open,10,NA,NA,0.95,NA,NA,NA,NA,15.5,21.5,2,HBW Alive,HBW Alive,HBW Alive,NA,"Young BE, TW Sherry, BJ Sigel & S & Woltmann. 2008. Nesting success of Costa Rican lowland rain forest birds in response to edge and isolation effects. Biotropica 40: 615-622.",106.3399048,N,trop,tropical
